,ds,y
597,2017:12:29 05:17:28,3.5
598,2017:12:29 05:21:36,3.6
599,2017:12:29 05:23:40,3.7
600,2017:12:29 05:29:51,3.9
601,2017:12:29 05:27:48,3.8
602,2017:12:29 05:33:58,3.3
603,2017:12:29 05:36:02,3.4
604,2017:12:29 05:40:10,3.5
605,2017:12:29 05:42:14,3.6
606,2017:12:29 05:46:22,3.7
607,2017:12:29 05:48:26,3.8
608,2017:12:29 05:52:34,3.9
609,2017:12:29 05:54:38,4.0
610,2017:12:29 05:58:45,4.1
611,2017:12:29 06:00:49,4.2
612,2017:12:29 06:04:54,4.3
613,2017:12:29 06:09:02,4.4
614,2017:12:29 06:11:06,4.5
615,2017:12:29 06:15:14,4.7
616,2017:12:29 06:19:21,4.8
617,2017:12:29 06:21:23,4.6
618,2017:12:29 06:23:26,4.7
619,2017:12:29 06:27:34,4.8
620,2017:12:29 06:31:42,4.9
621,2017:12:29 06:33:45,4.2
622,2017:12:29 06:37:52,4.3
623,2017:12:29 06:42:00,4.4
624,2017:12:29 06:48:12,4.5
625,2017:12:29 06:52:20,4.6
626,2017:12:29 06:56:28,4.8
627,2017:12:29 07:00:37,4.9
628,2017:12:29 07:04:44,5.0
629,2017:12:29 07:08:51,5.1
630,2017:12:29 07:10:54,5.2
631,2017:12:29 07:17:06,5.3
632,2017:12:29 07:19:08,5.4
633,2017:12:29 07:23:15,5.5
634,2017:12:29 07:27:21,5.6
635,2017:12:29 07:31:28,5.7
636,2017:12:29 07:33:31,5.1
637,2017:12:29 07:39:42,5.2
638,2017:12:29 07:43:49,5.3
639,2017:12:29 07:50:00,5.4
640,2017:12:29 07:54:08,5.5
641,2017:12:29 08:01:46,5.6
642,2017:12:29 08:03:50,5.7
643,2017:12:29 08:07:58,5.8
644,2017:12:29 08:12:06,5.9
645,2017:12:29 08:16:14,6.0
646,2017:12:29 08:20:22,6.1
647,2017:12:29 08:24:29,6.2
648,2017:12:29 08:28:36,6.3
649,2017:12:29 08:32:43,6.0
650,2017:12:29 08:36:51,6.1
651,2017:12:29 08:43:03,6.2
652,2017:12:29 08:49:14,6.3
653,2017:12:29 08:53:21,6.4
654,2017:12:29 08:59:32,6.5
655,2017:12:29 09:03:40,6.6
656,2017:12:29 09:09:51,6.7
657,2017:12:29 09:13:57,6.8
658,2017:12:29 09:18:03,6.9
659,2017:12:29 09:24:15,7.0
660,2017:12:29 09:28:22,7.1
661,2017:12:29 09:32:29,7.2
662,2017:12:29 09:34:33,6.7
663,2017:12:29 09:40:45,6.8
664,2017:12:29 09:49:01,6.9
665,2017:12:29 09:55:12,7.0
666,2017:12:29 09:59:20,7.0
667,2017:12:29 09:57:16,7.0
668,2017:12:29 10:01:24,7.1
669,2017:12:29 10:09:40,7.2
670,2017:12:29 10:15:51,7.3
671,2017:12:29 10:24:07,7.4
672,2017:12:29 10:30:17,7.5
673,2017:12:29 10:32:21,6.9
674,2017:12:29 10:36:29,7.0
675,2017:12:29 10:42:41,7.0
676,2017:12:29 10:44:45,7.0
677,2017:12:29 10:50:57,7.1
678,2017:12:29 11:05:23,7.2
679,2017:12:29 11:34:17,7.3
680,2017:12:29 11:40:29,7.2
681,2017:12:29 12:03:12,7.1
682,2017:12:29 12:15:35,7.0
683,2017:12:29 12:21:46,7.0
684,2017:12:29 12:23:50,7.0
685,2017:12:29 12:32:05,6.9
686,2017:12:29 12:34:09,7.3
687,2017:12:29 12:40:19,7.2
688,2017:12:29 12:48:35,7.1
689,2017:12:29 12:56:50,7.0
690,2017:12:29 13:05:05,6.9
691,2017:12:29 13:11:17,6.8
692,2017:12:29 13:17:28,6.7
693,2017:12:29 13:23:40,6.6
694,2017:12:29 13:29:52,6.5
695,2017:12:29 13:34:00,6.3
696,2017:12:29 13:38:08,6.2
697,2017:12:29 13:44:20,6.1
698,2017:12:29 13:46:23,6.3
699,2017:12:29 13:54:39,6.2
700,2017:12:29 14:02:54,6.1
701,2017:12:29 14:11:08,6.0
702,2017:12:29 14:21:28,5.9
703,2017:12:29 14:29:43,5.8
704,2017:12:29 14:33:51,6.4
705,2017:12:29 14:35:55,6.3
706,2017:12:29 14:44:08,6.2
707,2017:12:29 14:52:22,6.1
708,2017:12:29 15:00:38,6.0
709,2017:12:29 15:10:57,5.9
710,2017:12:29 15:19:12,5.8
711,2017:12:29 15:29:31,5.7
712,2017:12:29 15:33:38,6.7
713,2017:12:29 15:37:46,6.6
714,2017:12:29 15:48:05,6.5
715,2017:12:29 15:56:21,6.4
716,2017:12:29 16:04:37,6.3
717,2017:12:29 16:12:53,6.2
718,2017:12:29 16:21:08,6.1
719,2017:12:29 16:29:24,6.0
720,2017:12:29 16:33:32,6.5
721,2017:12:29 16:38:09,6.5
722,2017:12:29 16:40:51,6.5
723,2017:12:29 16:47:04,6.4
724,2017:12:29 16:59:25,6.3
725,2017:12:29 17:07:38,6.2
726,2017:12:29 17:15:54,6.1
727,2017:12:29 17:24:10,6.0
728,2017:12:29 17:25:14,6.0
729,2017:12:29 17:31:25,5.8
